"Gene","Median_Tumor","Median_Normal","LogFC","p_value","adj_p"
"SCARA5",6.05028534037124,11.8550263933183,-5.80474105294706,3.9721562069601e-66,4.57989610662499e-63
"PGM5P3-AS1",3.36787901184766,5.44203442999618,-2.07415541814852,3.59578338260069e-65,2.0729691200693e-62
"CAV1",11.6943577266157,15.0398713922508,-3.3455136656351,7.07353654754497e-65,2.71859587977312e-62
"HLF",8.02105985343999,11.6368060132682,-3.61574615982821,2.22842508625531e-63,6.42343531113093e-61
"LIFR",10.6422531493027,13.542801051759,-2.9005479024563,8.50564023266642e-63,1.96140063765288e-60
"IL33",8.48818469180992,12.0380677534976,-3.54988306168768,1.11101432084737e-62,2.13499918656169e-60
"AURKA",10.1988830898111,7.30246923984077,2.89641384997033,2.39275638284061e-62,3.44856013676903e-60
"UHRF1",10.0711481606162,6.65612034931773,3.41502781129847,2.22041019865771e-62,3.44856013676903e-60
"CDK1",11.1448557320525,8.07790173572345,3.06695399632905,3.64212255089367e-62,4.66596366797823e-60
"HJURP",9.48572929080048,6.06481761682211,3.42091167397837,1.8548375319767e-61,2.13862767436913e-59
"CXCL2",5.94330265710615,10.2709838977514,-4.32768124064525,3.17460942380867e-61,3.32756787786491e-59
"CDCA3",9.3044788469844,6.52618773560576,2.77829111137864,4.03806465631981e-61,3.58145272979749e-59
"PLK1",10.0844358551394,6.87723873588454,3.20719711925486,4.03806465631981e-61,3.58145272979749e-59
"TRIM59",9.40401073993925,7.6710876100589,1.73292312988035,5.58046106098279e-61,4.59590828808082e-59
"MELK",9.72858807213425,6.54582847264161,3.18275959949264,6.03622983335541e-61,4.63984866523919e-59
"LINC02587",4.28250064041774,7.60252891266087,-3.32002827224313,7.20409384584656e-61,5.19145012766318e-59
"KL",6.36965779884195,9.23531155457626,-2.86565375573431,7.67357739476365e-61,5.20449102127205e-59
"EZH2",10.3174310289006,8.21685104075483,2.10057998814577,1.2167115514929e-60,7.79371343817399e-59
"IGFBP6",8.70503723282418,11.7691536202985,-3.06411638747432,1.43606231951642e-60,8.7146308126444e-59
"ENPP2",10.1855636777375,13.2473531644275,-3.06178948669,7.15736359901469e-60,4.12622011483197e-58
"NTRK2",10.3330058632847,14.4598294043107,-4.126823541026,8.67330694541875e-60,4.76205852765134e-58
"KIF20A",10.4524324545742,6.99764700723414,3.45478544734006,1.24438360939298e-59,6.52170137104593e-58
"RRM2",11.3516824859532,7.82772801444641,3.52395447150679,1.65135729635818e-59,8.27832592478687e-58
"FOXM1",10.5470570797996,7.36124971512417,3.18580736467543,2.61667416215959e-59,1.25157986810931e-57
"NUAK2",9.20099972334802,7.22636397292852,1.9746357504195,2.71374646164204e-59,1.25157986810931e-57
"KLF15",6.41953722317851,9.46110457697646,-3.04156735379795,5.05993351973339e-59,2.24388590317408e-57
"GABARAPL1",11.2063683828935,12.4863056941475,-1.279937311254,7.27532462925284e-59,3.10683307315871e-57
"CDO1",7.11898531496461,10.7671544738121,-3.64816915884749,7.85845502884977e-59,3.23599951723707e-57
"ANGPTL7",3.7228647294539,8.54797930626384,-4.82511457680994,1.98268487880665e-58,7.88288160435884e-57
"MMP13",9.40683762465179,3.98902948890623,5.41780813574556,2.2050567258437e-58,8.47476801632596e-57
"TXNIP",14.7182239717332,16.7712971824453,-2.0530732107121,2.60643973219171e-58,9.6942742297324e-57
"FGF2",7.83540321201085,11.4471860937217,-3.61178288171085,3.72237040084146e-58,1.34121658505319e-56
"CD36",10.849240541013,15.7273486664035,-4.8781081253905,4.01880916445531e-58,1.40414756564151e-56
"EBF3",7.33990903845196,9.99627275823233,-2.65636371978037,4.98890875209271e-58,1.69182699740085e-56
"EGFR",10.463286986826,13.500595598794,-3.037308611968,5.19522887008277e-58,1.71145682491584e-56
"PYCR1",11.7947607281398,9.61551975757113,2.17924097056867,1.44075271152725e-57,4.61441076775256e-56
"PARP1",13.9826198022546,12.8445220638946,1.13809773836,1.81082026150471e-57,5.64290746355386e-56
"PDK4",10.4794949191024,14.3089219202711,-3.8294270011687,2.24512584729013e-57,6.81218447875137e-56
"SNCA",6.30128226394342,8.3131734849691,-2.01189122102568,3.05715255522641e-57,9.03819716968217e-56
"FABP4",9.54811336832291,15.5120121767422,-5.96389880841929,5.24865969066851e-57,1.5129261558352e-55
"ELAVL1",12.4331218817693,11.8364186837666,0.596703198002698,5.92051178365215e-57,1.66496343574413e-55
"CENPA",8.28979835083732,5.64977727161897,2.64002107921835,2.39279553041962e-56,6.5687934442234e-55
"CCT3",14.55704734307,13.4474670702499,1.1095802728201,2.7945256228923e-56,7.49322800742983e-55
"CAVIN1",13.7006407367905,15.4211382365537,-1.7204974997632,3.36617370464794e-56,8.82090518513425e-55
"C1QTNF6",11.0235314747472,8.93552395590701,2.08800751884019,3.82747072079628e-56,9.80683053572914e-55
"TRIM11",10.7690397367065,9.52580949402622,1.24323024268028,1.55146895256169e-55,3.8887906571818e-54
"PPARG",8.51465039335634,11.6824870627774,-3.16783666942106,2.25501557031333e-55,5.53198500547078e-54
"PRKD1",8.30795672365551,9.9029347978404,-1.59497807418489,2.45142616264304e-55,5.88852992818213e-54
"ADAMTS9-AS1",4.87301743752841,7.82055065302259,-2.94753321549418,8.18401121004712e-55,1.92574794391517e-53
"PRNP",12.0641084072427,13.6140442388402,-1.5499358315975,1.31199642783946e-54,3.0254637625978e-53
"FEN1",10.9451673001128,9.57220451323588,1.37296278687692,1.3825414499259e-54,3.12562802306778e-53
"E2F1",10.0565288072091,7.66535062628916,2.39117818091994,3.24713361385558e-54,7.19989433995286e-53
"CREB5",8.14622717594839,10.5013363951259,-2.35510921917751,3.78078463368442e-54,8.22498996724176e-53
"PLIN4",9.69269622274368,15.6640565738655,-5.97136035112182,5.56457801019162e-54,1.18814045291684e-52
"POLE2",8.47043340002988,7.17983799607753,1.29059540395235,7.60371146687276e-54,1.59401442205533e-52
"CRYAB",10.2502944921658,14.1286587506054,-3.8783642584396,9.94595325591955e-54,2.01187440422373e-52
"PTBP1",13.9871652775659,13.3576700978267,0.6294951797392,9.94595325591955e-54,2.01187440422373e-52
"AKR1C1",7.48258560979363,11.5827849431443,-4.10019933335067,1.13738673237631e-53,2.2610463834998e-52
"SQLE",12.1198746315441,10.1507771475793,1.9690974839648,1.25635871153156e-53,2.45522304134897e-52
"EPAS1",12.9176517155029,14.7245822701559,-1.806930554653,1.38173242036752e-53,2.65522913447291e-52
"E2F7",7.90249018767061,5.56447830804496,2.33801187962565,4.22211951659168e-53,7.9804980370987e-52
"CX3CL1",11.015162640862,14.2502424431777,-3.2350798023157,6.6021528962181e-53,1.2277874660225e-51
"YAP1",12.3060220818891,13.418539834917,-1.1125177530279,6.74544726523197e-53,1.23452392012896e-51
"MBOAT7",12.6699507657598,11.4223946408756,1.2475561248842,1.01833456347461e-52,1.83459336200973e-51
"TF",7.52271240494076,11.7493564631572,-4.22664405821644,1.87030824349525e-52,3.3176390842308e-51
"PER1",10.4764885789427,12.9500923359623,-2.4736037570196,2.08125653807915e-52,3.63589210364433e-51
"PHKG2",10.7291791733026,9.72192047636759,1.00725869693501,3.89766119819346e-52,6.7074677037568e-51
"NUP62",12.0465021988448,11.3647110013197,0.681791197525101,4.13729402708179e-52,7.01514707827251e-51
"EGR1",12.8525753016741,16.30752265903,-3.4549473573559,7.04341150431745e-52,1.17696427021421e-50
"SLC25A22",10.7958422474105,9.45061820560421,1.34522404180629,8.56412279220327e-52,1.4106333684872e-50
"CST1",8.02145193047927,2.71762148018043,5.30383045029884,8.86848225910929e-52,1.44019155559902e-50
"BGN",15.2219795352151,12.7846772120791,2.437302323136,9.24453602935731e-52,1.48040972803458e-50
"FLRT2",9.20484151295123,11.3729876226103,-2.16814610965907,1.29813042956748e-51,2.05033477437165e-50
"FBXW7",10.1576368904619,11.1130368707826,-0.955399980320701,2.20419693856258e-51,3.43437712184143e-50
"HNRNPL",13.0582306134689,12.6448261668353,0.413404446633601,2.45004206598809e-51,3.76653133611236e-50
"DDR2",11.264126427071,13.5031952918343,-2.2390688647633,3.61400809110851e-51,5.48283069611593e-50
"LINC00641",8.49426061270398,10.0230905797346,-1.52882996703062,9.60350669749065e-51,1.43803158729957e-49
"ADIPOQ",7.89072386278987,14.1117416946723,-6.22101783188243,1.00717162170637e-50,1.46996060737651e-49
"RAPGEF3",9.4318319879159,11.3208416256775,-1.8890096377616,1.0015759235985e-50,1.46996060737651e-49
"ADGRF5",10.8294850907375,12.5996222438378,-1.7701371531003,2.46791101133791e-50,3.55687674509076e-49
"PDIA4",13.711261670434,12.7669320958073,0.9443295746267,3.04218899443262e-50,4.33042458096396e-49
"SELENOP",11.1279670310496,12.8397546891232,-1.7117876580736,5.66812712960443e-50,7.96993973223648e-49
"MAZ",9.98974577421095,8.84622311831238,1.14352265589857,6.98169286541156e-50,9.6986649082163e-49
"E2F2",8.85155630334832,6.67493898819108,2.17661731515724,1.48848851408631e-49,2.04312768659705e-48
"GPX3",11.1015769079398,14.7830532053935,-3.6814762974537,1.51971539771601e-49,2.06144923949008e-48
"PROX1",6.37108801144557,9.18002387859197,-2.8089358671464,1.61066324966521e-49,2.15941247309766e-48
"A2M-AS1",6.16355806011522,7.38690626149341,-1.22334820137819,4.33421131311304e-49,5.74407545289579e-48
"SGK2",5.84253011481506,8.50564861940873,-2.66311850459367,7.02497465444196e-49,9.2043133824677e-48
"AKR1C2",7.31387543520408,12.0010195720255,-4.68714413682142,8.45696310969341e-49,1.09560432196365e-47
"H3C10",8.21433078351042,4.9651955094301,3.24913527408032,1.02629697889616e-48,1.31480046296363e-47
